admin_code,admin_level,region_name_en,region_name_ja,country_iso,region_block,occupation_category,occupation_code,occupation_level,wage_value,wage_unit,currency,wage_measure,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
03,1,Iwate,岩手県,JP,Tohoku,Total,,total,267,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
03,1,Iwate,岩手県,JP,Tohoku,Total,,total,717.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
04,1,Miyagi,宮城県,JP,Tohoku,Total,,total,325.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
04,1,Miyagi,宮城県,JP,Tohoku,Total,,total,298.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
04,1,Miyagi,宮城県,JP,Tohoku,Total,,total,829.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
05,1,Akita,秋田県,JP,Tohoku,Total,,total,284.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
05,1,Akita,秋田県,JP,Tohoku,Total,,total,265.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
05,1,Akita,秋田県,JP,Tohoku,Total,,total,662.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
06,1,Yamagata,山形県,JP,Tohoku,Total,,total,294,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
06,1,Yamagata,山形県,JP,Tohoku,Total,,total,272.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
06,1,Yamagata,山形県,JP,Tohoku,Total,,total,733.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
07,1,Fukushima,福島県,JP,Tohoku,Total,,total,301.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
07,1,Fukushima,福島県,JP,Tohoku,Total,,total,276.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
07,1,Fukushima,福島県,JP,Tohoku,Total,,total,705.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
08,1,Ibaraki,茨城県,JP,Kanto,Total,,total,342.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
08,1,Ibaraki,茨城県,JP,Kanto,Total,,total,312.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
08,1,Ibaraki,茨城県,JP,Kanto,Total,,total,906.4,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
09,1,Tochigi,栃木県,JP,Kanto,Total,,total,346.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
09,1,Tochigi,栃木県,JP,Kanto,Total,,total,314.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
09,1,Tochigi,栃木県,JP,Kanto,Total,,total,825.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
10,1,Gunma,群馬県,JP,Kanto,Total,,total,334.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
10,1,Gunma,群馬県,JP,Kanto,Total,,total,302.5,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
10,1,Gunma,群馬県,JP,Kanto,Total,,total,848.5,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
11,1,Saitama,埼玉県,JP,Kanto,Total,,total,353,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
11,1,Saitama,埼玉県,JP,Kanto,Total,,total,322.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
11,1,Saitama,埼玉県,JP,Kanto,Total,,total,859.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
12,1,Chiba,千葉県,JP,Kanto,Total,,total,349.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
12,1,Chiba,千葉県,JP,Kanto,Total,,total,320.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
12,1,Chiba,千葉県,JP,Kanto,Total,,total,820.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Total,,total,434.3,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Total,,total,403.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
13,1,Tokyo,東京都,JP,Kanto,Total,,total,1232.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
14,1,Kanagawa,神奈川県,JP,Kanto,Total,,total,388.7,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
14,1,Kanagawa,神奈川県,JP,Kanto,Total,,total,355.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
14,1,Kanagawa,神奈川県,JP,Kanto,Total,,total,1106.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
15,1,Niigata,新潟県,JP,Hokuriku,Total,,total,313,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
15,1,Niigata,新潟県,JP,Hokuriku,Total,,total,288.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
15,1,Niigata,新潟県,JP,Hokuriku,Total,,total,770.4,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
16,1,Toyama,富山県,JP,Hokuriku,Total,,total,320.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
16,1,Toyama,富山県,JP,Hokuriku,Total,,total,295.2,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
16,1,Toyama,富山県,JP,Hokuriku,Total,,total,811.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
17,1,Ishikawa,石川県,JP,Hokuriku,Total,,total,335.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
17,1,Ishikawa,石川県,JP,Hokuriku,Total,,total,308.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
17,1,Ishikawa,石川県,JP,Hokuriku,Total,,total,866.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
18,1,Fukui,福井県,JP,Hokuriku,Total,,total,317.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
18,1,Fukui,福井県,JP,Hokuriku,Total,,total,290.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
18,1,Fukui,福井県,JP,Hokuriku,Total,,total,835.7,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
19,1,Yamanashi,山梨県,JP,Kanto,Total,,total,328.5,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
19,1,Yamanashi,山梨県,JP,Kanto,Total,,total,304.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
19,1,Yamanashi,山梨県,JP,Kanto,Total,,total,794.7,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
20,1,Nagano,長野県,JP,Kanto,Total,,total,324,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
20,1,Nagano,長野県,JP,Kanto,Total,,total,298.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
20,1,Nagano,長野県,JP,Kanto,Total,,total,901.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
21,1,Gifu,岐阜県,JP,Tokai/Chubu,Total,,total,316.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
21,1,Gifu,岐阜県,JP,Tokai/Chubu,Total,,total,289.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
21,1,Gifu,岐阜県,JP,Tokai/Chubu,Total,,total,754.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
22,1,Shizuoka,静岡県,JP,Tokai/Chubu,Total,,total,339.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
22,1,Shizuoka,静岡県,JP,Tokai/Chubu,Total,,total,309.4,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
22,1,Shizuoka,静岡県,JP,Tokai/Chubu,Total,,total,920.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Total,,total,368.2,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Total,,total,332.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
23,1,Aichi,愛知県,JP,Tokai/Chubu,Total,,total,1065.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
24,1,Mie,三重県,JP,Tokai/Chubu,Total,,total,346.7,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
24,1,Mie,三重県,JP,Tokai/Chubu,Total,,total,309.6,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
24,1,Mie,三重県,JP,Tokai/Chubu,Total,,total,890.4,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,348.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,312.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,917.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,354.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,323.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,909.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,376.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,348,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,1040.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,349.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,318.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,940.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,343.5,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,312.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,783.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,323.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,297.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,812.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,291.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,269.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,592.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,295.8,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,269.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,757.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,325.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,296.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,791.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
34,1,Hiroshima,広島県,JP,Chugoku,Total,,total,344.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
34,1,Hiroshima,広島県,JP,Chugoku,Total,,total,312.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
